 April ; Apr 	 april 	 time 
 park ; commons ; common ; green 	 park 	 city 
 part ; portion ; component part ; component ; constituent 	 deel ; onderdeel 	 abstract 
 part ; section ; division 	 deling ; delen 	 mathematics 
 particular 	 bijzonder 	 adjective 
 particularly ; peculiarly ; especially ; specially 	 bijzonder 	 adverb 
 party 	 feest ; party ; viering 	 society 
 passenger ; rider 	 passagier 	 transport 
 passport 	 paspoort 	 object 
 past 	 voorbij 	 adjective 
 past ; past times ; yesteryear 	 verleden 	 time 
 patient 	 geduldig ; geduldige ; patiënt ; patiënte 	 adjective 
 patient 	 patiënt 	 medicine 
 pause ; intermission ; break ; interruption ; suspension 	 pauze 	 time 
 pay 	 betalen 	 verb 
 payment 	 betaling 	 business 
 peace 	 vrede 	 abstract 
 pen 	 pen 	 object 
 pencil 	 potlood 	 object 
 people 	 mensen ; lui ; volk ; personen 	 society 
 percentage ; percent ; per centum ; pct 	 procent 	 mathematics 
 person ; individual ; someone ; somebody ; mortal ; soul 	 persoon ; individueel 	 family 
 personal 	 persoonlijk 	 adjective 
 personality 	 karakter 	 abstract 
 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 aardolie 	 material 
 phase ; stage 	 fase 	 time 
 photographer ; lensman 	 fotograaf 	 profession 
 physical 	 lichamelijk 	 adjective 
 physical 	 natuurkundig 	 adjective 
 picture ; image ; icon ; ikon 	 beeld ; beeltenis ; plaatje 	 art 
 piece 	 stuk 	 object 
 pilot ; airplane pilot 	 piloot 	 profession 
 pin 	 speld 	 object 
 pink ; pinkish 	 roze 	 color 
 pipe ; pipage ; piping 	 buis 	 object 
 pivot ; pin 	 pen 	 object 
 plain ; field ; champaign 	 vlakte 	 nature 
 plan 	 plannen 	 verb 
 plan ; program ; programme 	 plan 	 abstract 
 plant ; flora ; plant life 	 plant 	 house 
 plant ; works ; industrial plant 	 fabriek 	 city 
 plate 	 bord ; dienblad 	 food 
 play 	 spelen 	 verb 
 player ; participant 	 speler 	 sports 
 please 	 alstublieft (polite) ; alsjeblief (casual) ; a.u.b. 	 adverb 
 pleasure ; pleasance 	 plezier ; genoegen 	 abstract 
 plow ; plough ; turn 	 ploegen 	 verb 
 poem ; verse form 	 gedicht 	 art 
 poetry ; poesy ; verse 	 poëzie 	 art 
 point ; dot 	 punt ; punt 	 linguistics 
 poison 	 vergiftigen 	 verb 
 poison ; toxicant ; poisonous substance 	 vergif 	 material 
 police ; police force ; constabulary ; law 	 politie 	 society 
 policeman ; police officer ; officer 	 politieagent 	 profession 
 policy 	 beleid 	 society 
 polish ; smooth ; smoothen ; shine 	 polijsten ; oppoetsen 	 verb 
 political 	 politiek 	 adjective 
 politician ; politico ; pol ; political leader 	 politicus 	 profession 
 poor 	 arm ; berooid 	 adjective 
 populace ; public ; world 	 bevolking 	 society 
 population 	 bevolking 	 society 
 position ; place 	 betrekking 	 linguistics 
 possible 	 mogelijk ; mogelijke ; haalbaar ; haalbare (attainable) 	 adjective 
 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 misschien ; wellicht ; mogelijkerwijs 	 adverb 
 postage ; postage stamp ; stamp 	 port ; postzegel 	 object 
 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 aardappel ; pieper ; patat 	 food 
 potent ; strong ; stiff 	 krachtig 	 adjective 
 powder ; pulverization ; pulverisation 	 buskruit 	 material 
 power ; powerfulness 	 macht ; kracht 	 abstract 
 practice 	 praktijk 	 art 
 practice ; practise ; exercise ; do 	 uitoefenen 	 verb 
 precisely ; exactly ; just 	 precies 	 adverb 
 present 	 aanwezig 	 object 
 present 	 tegenwoordig 	 adjective 
 present ; nowadays 	 Tegenwoordig 	 time 
 president 	 president 	 profession 
 press 	 drukken 	 verb 
 pressure ; pressure level ; force per unit area 	 druk 	 nature 
 prevent ; forestall ; foreclose ; preclude ; forbid 	 voorkomen 	 verb 
 previous ; old 	 vorig 	 adjective 
 price 	 prijs 	 transport 
 price 	 prijzen 	 verb 
 price ; cost ; toll 	 prijs 	 business 
 price ; terms ; damage 	 prijs 	 transport 
 principle ; rule 	 principe 	 linguistics 
 print ; impress 	 afdrukken 	 verb 
 prison ; prison house 	 gevangenis 	 city 
 private 	 besloten 	 adjective 
 probable ; likely 	 waarschijnlijk 	 adjective 
 probably ; likely ; in all likelihood ; in all probability ; belike 	 waarschijnlijk 	 adverb 
 problem ; job 	 probleem 	 mathematics 
 procedure ; process 	 werkwijze ; ontwikkelingsgang ; proces ; verloop 	 mathematics 
 process ; physical process 	 bewerking 	 nature 
 process ; treat 	 verwerken 	 verb 
 produce ; make ; create 	 produceren 	 verb 
 product ; production 	 product 	 object 
 production 	 productie 	 abstract 
 professional 	 professioneel 	 adjective 
 professional ; professional person 	 vakman 	 profession 
 profit ; turn a profit 	 verdienen ; winst maken ; profiteren 	 verb 
 program ; programme ; computer program ; computer programme 	 programma 	 abstract 
 project ; projection 	 project 	 abstract 
 promise ; hope 	 hoop ; verwachting 	 relations 
 pronunciation 	 uitspraak 	 linguistics 
 property 	 eigendom 	 abstract 
 property ; belongings ; holding 	 eigendom ; bezit 	 society 
 proposal 	 aanbieding 	 abstract 
 propose ; suggest ; advise 	 voorstellen 	 verb 
 protest 	 protesteren 	 verb 
 protest ; protestation 	 protest 	 communication 
 prototype ; paradigm ; epitome ; image 	 prototype 	 linguistics 
 public 	 publiek 	 travelling 
 publish ; bring out ; put out ; issue ; release 	 uitgeven 	 verb 
 pull ; draw ; force 	 trekken 	 verb 
 pump 	 pomp 	 device 
 pump 	 pompen 	 verb 
 punishment ; penalty ; penalization ; penalisation 	 straf 	 society 
 purple ; violet ; purplish 	 violet 	 color 
 push ; force 	 duwen 	 verb 
 push button ; push ; button 	 knop ; badge 	 object 
 put ; set ; place ; pose ; position ; lay 	 zetten 	 verb 
 quality 	 kwaliteit 	 abstract 
 quality ; character ; lineament 	 karakter 	 abstract 
 question ; inquiry ; enquiry ; query ; interrogation 	 kwestie 	 linguistics 
 quickly ; rapidly ; speedily ; chop-chop ; apace 	 schielijk ; snel ; vlug ; gauw ; spoedig ; gezwind 	 adverb 
 quiet 	 stil ; zwijgzaam ; rustig 	 adjective 
 rain ; pelting 	 regen 	 nature 
 rain ; rain down 	 regenen 	 verb 
 rain ; rainfall 	 regen 	 nature 
 raise ; lift ; elevate ; get up ; bring up 	 optrekken 	 verb 
 rate ; charge per unit 	 tarief 	 business 
 rate ; rank ; range ; order ; grade ; place 	 schatten 	 verb 
 reach ; make ; attain ; hit ; arrive at ; gain 	 bereiken 	 verb 
 reaction 	 reactie 	 abstract 
 read 	 lezen 	 verb 
 ready 	 klaar 	 adjective 
 real ; existent 	 echt 	 adjective 
 rear ; raise ; bring up ; nurture ; parent 	 fokken 	 verb 
 reason 	 reden 	 communication 
 reason 	 redeneren 	 verb 
 reason ; ground 	 reden 	 communication 
 receive ; have 	 ontvangen 	 verb 
 recently ; late ; lately ; of late ; latterly 	 onlangs 	 adverb 
 record 	 record 	 abstract 
 record ; tape 	 opnemen 	 verb 
 red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 rood 	 color 
 reduce ; cut down ; cut back ; trim ; trim down ; trim back ; cut ; bring down 	 verlagen 	 verb 
 reflect ; reverberate 	 spiegelen 	 verb 
 refuse ; reject ; pass up ; turn down ; decline 	 weigeren 	 verb 
 region ; part 	 streek 	 nature 
 regular 	 regelmatig ; regelmatige 	 adjective 
 relation 	 relatie ; verhouding 	 communication 
 relationship ; human relationship 	 verhouding 	 society 
 religion ; faith ; organized religion 	 religie 	 society 
 religion ; faith ; religious belief 	 religie 	 society 
 remainder ; balance ; residual ; residue ; residuum ; rest 	 rest 	 business 
 remember ; retrieve ; recall ; call back ; call up ; recollect ; think 	 onthouden 	 verb 
 remove ; take ; take away ; withdraw 	 verwijderen 	 verb 
 render ; return 	 retourneren 	 verb 
 report 	 rapporteren 	 verb 
 report ; study ; written report 	 rapport 	 abstract 
 repose ; quiet ; placidity ; serenity ; tranquillity ; tranquility 	 sereniteit 	 abstract 
 represent ; stand for ; correspond 	 vertegenwoordigen 	 verb 
 representative 	 plaatsvervanger 	 profession 
 request ; asking 	 verzoek 	 communication 
 request ; bespeak ; call for ; quest 	 verlangen 	 verb 
 research 	 onderzoek ; speurwerk 	 abstract 
 research 	 vorsen 	 verb 
 respect ; honor ; honour ; abide by ; observe 	 eerbiedigen 	 verb 
 respite ; recess ; break ; time out 	 ontspanning 	 abstract 
 responsibility ; responsibleness 	 verantwoordelijkheid 	 abstract 
 responsible 	 verantwoordelijk ; verantwoordelijke 	 adjective 
 rest ; ease ; repose ; relaxation 	 rust 	 abstract 
 restaurant ; eating house ; eating place ; eatery 	 restaurant 	 city 
 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 beperken 	 verb 
 result ; resultant ; final result ; outcome ; termination 	 resultaat 	 mathematics 
 return ; homecoming 	 terugkomst 	 abstract 
 reverse ; contrary ; opposite 	 tegendeel 	 abstract 
 rhythm ; beat ; musical rhythm 	 ritme 	 art 
 rice 	 rijst 	 food 
 rice 	 rijst 	 food 
 right 	 gelijk 	 adverb 
 right 	 precies 	 adverb 
 right 	 recht 	 society 
 right 	 rechts ; rechtse 	 adjective 
 rigid ; stiff 	 onbuigzaam 	 adjective 
 ring ; band 	 ring 	 clothes 
 rise ; rising ; ascent ; ascension 	 ontsteking 	 abstract 
 rival ; challenger ; competitor ; competition ; contender 	 rivaal 	 business 
 river 	 stroom ; rivier 	 nature 
 road ; route 	 weg ; baan ; straat 	 transport 
 rock ; stone 	 steen ; steentje 	 nature 
 roof 	 dak 	 house 
 room 	 ruimte ; kamer ; zaal 	 house 
 root 	 wortel 	 mathematics 
 root 	 wortel 	 nature 
 rope 	 touw 	 transport 
 rough ; unsmooth 	 onbehouwen 	 adjective 
 round ; circular 	 rondschrijven ; ronde 	 adjective 
 round off ; round down ; round out ; round 	 afronden 	 verb 
 rug ; carpet ; carpeting 	 tapijt 	 house 
 rule ; regulation 	 heerschappij ; voorschrift 	 linguistics 
 run 	 rennen ; lopen 	 verb 
 sad 	 bedroefd ; droevig ; treurig 	 adjective 
 safe 	 brandkast 	 object 
 safe 	 veilig 	 adjective 
 sail ; canvas ; canvass ; sheet 	 zeil ; zeiltocht 	 object 
 sailor ; crewman 	 zeeman ; matroos 	 profession 
 salad 	 salade 	 food 
 sale 	 verkoop 	 business 
 salt 	 zouten 	 verb 
 salt ; table salt ; common salt 	 zouten 	 food 
 salvage ; salve ; relieve ; save 	 redden 	 verb 
 same 	 hetzelfde 	 adjective 
 sand 	 zand ; zavel 	 material 
 sandwich 	 sandwich 	 food 
 sauce 	 sop 	 food 
 save ; preserve 	 besparen 	 verb 
 school ; schoolhouse 	 school 	 city 
 science ; scientific discipline 	 wetenschap 	 society 
 scientist 	 wetenschapper 	 profession 
 scissors ; pair of scissors 	 schaar 	 object 
 scope ; range ; reach ; orbit ; compass ; ambit 	 bereik 	 abstract 
 screen ; cover ; covert ; concealment 	 deksel 	 object 
 screw 	 schroeven 	 verb 
 sea 	 zee 	 nature 
 season 	 seizoen 	 nature 
 season ; flavor ; flavour 	 rijpen 	 verb 
 seat 	 zetel 	 house 
 seat ; place 	 plaats 	 abstract 
 second ; 2nd ; 2d 	 tweede 	 adjective 
 second ; sec ; s 	 seconde 	 time 
 secret 	 geheim 	 communication 
 secretary ; secretarial assistant 	 secretaresse 	 profession 
 section ; subdivision 	 sectie 	 mathematics 
 see 	 zien ; aanschouwen 	 verb 
 see ; consider ; reckon ; view ; regard 	 beschouwen 	 verb 
 seed 	 zaad 	 food 
 sell 	 verkopen 	 verb 
 sentence 	 zin 	 linguistics 
 separate 	 afzonderlijk 	 adjective 
 serious 	 ernstig ; degelijk 	 adjective 
 servant ; retainer 	 meid 	 profession 
 serve 	 dienen 	 verb 
 service 	 bediening 	 sports 
 set 	 set 	 sports 
 set 	 stelletje 	 mathematics 
 seven ; 7 ; vii 	 zeven 	 number 
 seventeen ; 17 ; xvii 	 zeventien 	 number 
 seventh ; 7th 	 zevende ; zevende, 7de, 7e 	 number 
 seventy ; 70 ; lxx 	 zeventig 	 number 
 several 	 verscheidene 	 adjective 
 sew ; run up ; sew together ; stitch 	 naaien 	 verb 
 sex 	 sekse 	 nature 
 sexual activity ; sexual practice ; sex ; sex activity 	 seks ; geslachtsdaad ; vrijen 	 relations 
 share 	 aandeel 	 business 
 share 	 delen 	 verb 
 share ; portion ; part ; percentage 	 deel 	 society 
 she 	 zij 	 pronoun 
 sheep 	 schaap ; schapen 	 animal 
 shelf 	 schap 	 house 
 ship 	 schip 	 transport 
 shirt 	 hemd 	 clothes 
 shock ; offend ; scandalize ; scandalise ; appal ; appall ; outrage 	 ergernis geven 	 verb 
 shoe 	 schoen 	 clothes 
 shop ; store 	 winkel 	 business 
 short 	 kort ; korte ; dicht ; dichte 	 adjective 
 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 schreeuwen 	 verb 
 show ; demo ; exhibit ; present ; demonstrate 	 tonen ; laten zien ; demonstreren ; weergeven 	 verb 
 shower 	 douche 	 house 
 shroud ; enshroud ; hide ; cover 	 verhullen ; verbergen 	 verb 
 shut ; unopen ; closed 	 gesloten 	 adjective 
 side 	 zijde 	 mathematics 
 sign 	 teken 	 linguistics 
 silence ; quiet 	 stilte 	 abstract 
 silent ; soundless ; still 	 stil 	 adjective 
 silk 	 zij 	 material 
 silver 	 zilverkleurig ; zilverkleurige 	 adjective 
 silver ; Ag ; atomic number 47 	 zilveren 	 material 
 similar 	 gelijk 	 adjective 
 since 	 sinds 	 preposition 
 sincere 	 oprecht 	 adjective 
 sing 	 zingen 	 verb 
 singer ; vocalist ; vocalizer ; vocaliser 	 zangeres 	 profession 
 single 	 enkel 	 adjective 
 sink 	 gootsteen 	 house 
 sister ; sis 	 zuster 	 family 
 sit ; sit down 	 zitten 	 verb 
 situation ; state of affairs 	 situatie 	 abstract 
 six ; 6 ; vi ; half dozen ; half-dozen 	 zes 	 number 
 sixteen ; 16 ; xvi 	 zestien 	 number 
 sixth ; 6th 	 zesde ; 6de ; 6e 	 number 
 sixty ; 60 ; lx ; threescore 	 zestig 	 number 
 size 	 maat ; grootte 	 physics 
 skid ; slip ; sideslip 	 slippen 	 abstract 
 skill ; science 	 bedrevenheid 	 sports 
 skin ; peel ; pare 	 schillen 	 verb 
 skin ; tegument ; cutis 	 huid 	 anatomy 
 skirt 	 rok 	 clothes 
 sky 	 hemel 	 nature 
 sleep ; slumber 	 slaap 	 nature 
 slow 	 langzaam 	 adjective 
 slowly ; slow ; easy ; tardily 	 traag ; traagjes ; langzaamaan 	 adverb 
 small ; little 	 klein ; een beetje 	 adjective 
 smash ; nail ; boom ; blast 	 slaan 	 verb 
 smell 	 ruiken 	 verb 
 smell 	 ruiken ; geuren ; stinken 	 verb 
 smell 	 stinken 	 verb 
 smile 	 glimlachen 	 verb 
 smile ; smiling ; grin ; grinning 	 glimlach 	 abstract 
 smoke 	 roken 	 verb 
 smoke ; fume 	 damp 	 nature 
 smooth 	 glad 	 adjective 
 snake ; serpent ; ophidian 	 slang ; serpent 	 animal 
 snog ; kiss ; buss ; osculate 	 kussen ; zoenen 	 verb 
 snow 	 sneeuw 	 nature 
 snow 	 sneeuwen 	 verb 
 snow ; snowfall 	 sneeuwen 	 nature 
 so 	 zozeer 	 adverb 
 soap 	 zeep 	 material 
 soap ; lather 	 inzepen 	 verb 
 society 	 gemeenschap 	 society 
 sock 	 sok 	 clothes 
 soft 	 zacht 	 adjective 
 soldier 	 soldaat 	 profession 
 solid 	 solide 	 adjective 
 sometimes 	 soms ; op een keer 	 adverb 
 son ; boy 	 zoon 	 family 
 song ; vocal 	 lied ; liedje ; nummer 	 art 
 soon ; shortly ; presently ; before long 	 binnenkort 	 adverb 
 sound 	 geluid ; klank ; toon 	 nature 
 soup 	 soep 	 food 
 south 	 zuid ; zuidelijk 	 adjective 
 south ; due south ; southward ; S 	 zuidelijk ; zuiden 	 logistics 
 space ; infinite 	 ruimte 	 mathematics 
 sparse ; thin 	 dun 	 adjective 
 specific 	 specifiek 	 adjective 
 speech ; speech communication ; spoken communication ; spoken language ; language ; voice communication ; oral communication 	 taal 	 linguistics 
 spelling 	 spelling 	 linguistics 
 spend ; pass 	 doorbrengen 	 verb 
 spill ; tumble ; fall 	 val 	 abstract 
 spoon 	 lepel 	 food 
 spring 	 springveer 	 object 
 spring ; fountain ; outflow ; outpouring ; natural spring 	 bron 	 nature 
 spring ; springtime 	 voorjaar 	 nature 
 square 	 vierkant 	 adjective 
 square ; foursquare 	 vierkant 	 mathematics 
 square ; second power 	 vierkant 	 mathematics 
 squash ; crush ; squelch ; mash ; squeeze 	 knijpen 	 verb 
 staff 	 personeel 	 society 
 stage 	 toneel 	 object 
 stalk ; stem 	 stengel 	 nature 
 stamp 	 muntstempel 	 object 
 stand ; stand up 	 staan 	 verb 
 standard 	 normaal 	 adjective 
 standard ; criterion ; measure ; touchstone 	 criterium 	 communication 
 star 	 ster 	 nature 
 state 	 staat 	 society 
 state 	 status 	 mathematics 
 state ; province 	 staat 	 society 
 state ; say ; tell 	 vertellen ; zeggen 	 verb 
 statement 	 verklaring 	 communication 
 station 	 station 	 society 
 stay ; remain ; rest 	 blijven 	 verb 
 steal 	 stelen ; ontvreemden ; jatten 	 verb 
 steam 	 wasem ; stoom 	 physics 
 steel 	 staal 	 material 
 step ; stair 	 trap 	 house 
 stick 	 kleven ; tak ; takje ; stok 	 object 
 still 	 nog 	 adverb 
 stitch 	 Steek 	 medicine 
 stomach ; tummy ; tum ; breadbasket 	 maag 	 anatomy 
 stop ; halt 	 stoppen 	 abstract 
 stop ; halt 	 stoppen 	 verb 
 straight 	 recht ; rechte 	 adjective 
 strange ; unusual 	 raar 	 adjective 
 stream ; flow ; current 	 stroom 	 nature 
 street 	 straat 	 city 
 stretch 	 rak 	 art 
 strong 	 sterk 	 adjective 
 structure 	 structuur 	 linguistics 
 structure ; construction 	 structuur 	 house 
 student ; pupil ; educatee 	 student ; studente 	 profession 
 study 	 studeren ; instuderen 	 verb 
 stupid 	 dom ; domme ; onverstandig ; onverstandige ; stom ; stomme 	 adjective 
 style 	 stijl 	 art 
 stylish ; fashionable 	 modieus 	 adjective 
 subject ; dependent 	 ondergeschikte 	 adjective 
 subject ; topic ; theme 	 onderwerp ; thema 	 linguistics 
 substitution ; exchange ; commutation 	 vervanging 	 abstract 
 success 	 succes 	 society 
 successful 	 succesvol 	 adjective 
 such 	 zodanig 	 adverb 
 sudden 	 plotseling ; plotselinge 	 adjective 
 suddenly ; all of a sudden ; of a sudden 	 plotseling 	 adverb 
 suffer ; endure 	 lijden 	 verb 
 sugar ; refined sugar 	 suiker 	 food 
 sugar ; saccharify 	 zoeten 	 verb 
 suggestion ; proposition ; proffer 	 voorstel 	 abstract 
 sum ; amount ; total 	 som ; totaal 	 mathematics 
 summation ; addition ; plus 	 optelling ; sommering 	 mathematics 
 summer ; summertime 	 zomer 	 nature 
 sun ; Sun 	 zon ; zonneschijn 	 nature 
 supermarket 	 supermarkt 	 city 
 supplant ; replace ; supersede ; supervene upon ; supercede 	 vervangen 	 verb 
 supply ; provide ; render ; furnish 	 voorzien 	 verb 
 support 	 steun 	 abstract 
 support ; back up 	 steunen 	 verb 
 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 zeker 	 adverb 
 surface 	 oppervlakte 	 mathematics 
 surprise 	 verrassen 	 verb 
 surprise 	 verrassing 	 abstract 
 surrender ; give up 	 zich overgeven 	 verb 
 sweet 	 zoet 	 adjective 
 sweet ; sweetness ; sugariness 	 Zoetigheid 	 food 
 swim 	 zwemmen 	 verb 
 system ; scheme 	 systeem 	 linguistics 
 table 	 tafel 	 house 
 table ; tabular array 	 tabel 	 object 
 tail 	 schaduwen ; staart 	 anatomy 
 take ; get hold of 	 pakken ; oppakken 	 verb 
 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 praten ; spreken 	 verb 
 tall 	 (thing) hoog ; (person) lang 	 adjective 
 taste ; gustation ; sense of taste ; gustatory modality 	 smaak 	 nature 
 taste ; savor ; savour 	 smaken 	 verb 
 tax ; taxation ; revenue enhancement 	 belasting 	 business 
 tea 	 thee 	 food 
 teach ; learn ; instruct 	 aanleren ; leren ; onderwijzen 	 verb 
 teacher ; instructor 	 leraar ; docent ; lerares ; onderwijzer 	 profession 
 team ; squad 	 ploeg 	 society 
 technology ; engineering 	 technologie 	 society 
 television camera ; tv camera ; camera 	 camera 	 object 
 television receiver ; television ; television set ; tv ; tv set ; idiot box ; boob tube ; telly ; goggle box 	 televisie 	 device 
 ten ; 10 ; x 	 tien 	 number 
 tendency ; trend 	 neiging 	 abstract 
 tennis ; lawn tennis 	 tennis 	 sports 
 tenth ; 10th 	 tiende, 10de, 10e 	 number 
 test ; prove ; try ; try out ; examine ; essay 	 proberen 	 verb 
 testify ; bear witness ; prove ; evidence ; show 	 bewijzen 	 verb 
 than 	 dan 	 conjunction 
 thank ; give thanks 	 bedanken 	 verb 
 that 	 dat 	 pronoun 
 the 	 de 	 article 
 theater ; theatre ; house 	 schouwburg 	 city 
 their 	 hun 	 pronoun 
 them 	 hen 	 pronoun 
 then ; so ; and so ; and then 	 toen 	 adverb 
 theory 	 theorie 	 education 
 there ; at that place ; in that location 	 daar ; daarheen ; aldaar 	 adverb 
 therefore ; hence ; thence ; thus ; so 	 daarom 	 adverb 
 these 	 deze 	 pronoun 
 they 	 zij ; ze 	 pronoun 
 thick 	 dicht 	 adjective 
 thick 	 dik 	 adjective 
 thin 	 dun 	 adjective 
 thin ; lean 	 schraal 	 adjective 
 thing 	 ding 	 object 
 third ; 3rd ; tertiary 	 derde ; 3de ; 3e 	 mathematics 
 thirsty 	 dorstig 	 adjective 
 thirteen ; 13 ; xiii 	 dertien 	 number 
 thirty ; 30 ; xxx 	 dertig 	 number 
 this 	 dit ; deze 	 pronoun 
 thorax ; chest ; pectus 	 borstkast 	 anatomy 
 those 	 die 	 pronoun 
 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 duizend 	 number 
 thousand ; one thousand ; 1000 ; m ; k 	 duizend 	 number 
 three ; 3 ; iii 	 drie 	 number 
 throat ; pharynx 	 keel 	 anatomy 
 throw 	 gooi 	 sports 
 throw 	 werpen ; gooien ; smijten ; afwerpen ; omgooien ; 	 verb 
 thumb ; pollex 	 duim 	 anatomy 
 ticket 	 bon 	 object 
 ticket 	 ticket ; kaartje ; toegangsbewijs 	 object 
 tight 	 dicht 	 adjective 
 time period ; period of time ; period 	 periode 	 time 
 tired 	 moe ; vermoeid 	 adjective 
 title 	 titel 	 society 
 to 	 naar 	 preposition 
 today 	 heden 	 time 
 today 	 vandaag 	 adverb 
 toe 	 teen 	 anatomy 
 together 	 samen 	 adverb 
 toilet ; lavatory ; lav ; can ; john ; privy ; bathroom 	 toilet 	 house 
 tomato 	 tomaat 	 food 
 tomato ; love apple ; tomato plant ; Lycopersicon esculentum 	 tomaat 	 food 
 tomorrow 	 morgen 	 adverb 
 tomorrow 	 morgen 	 time 
 tongue ; lingua ; glossa ; clapper 	 tong 	 anatomy 
 tonight ; this evening ; this night 	 vannacht ; vanavond ; deze avond ; deze nacht 	 adverb 
 tooth 	 tand 	 anatomy 
 topographic point ; place ; spot 	 plaats 	 abstract 
 torso ; trunk ; body 	 corpus ; lichaam 	 anatomy 
 touch ; touching 	 aanraking 	 abstract 
 town 	 stad ; gemeente ; nederzetting 	 society 
 trace ; draw ; line ; describe ; delineate 	 tekenen 	 verb 
 track ; rail ; rails ; runway 	 rail 	 transport 
 trade 	 handel 	 business 
 trade ; merchandise 	 handel 	 verb 
 train ; develop ; prepare ; educate 	 trainen ; opleiden 	 verb 
 train ; railroad train 	 trein 	 transport 
 training ; preparation ; grooming 	 training 	 abstract 
 transport ; carry 	 dragen 	 verb 
 transport ; send ; ship 	 overbrengen ; voeren ; vervoeren ; transporteren 	 verb 
 transportation ; shipping ; transport 	 vervoer 	 transport 
 travel ; go ; move ; locomote 	 lopen 	 verb 
 treat ; care for 	 behandelen 	 verb 
 treatment ; handling 	 behandeling 	 abstract 
 tree 	 boom 	 house 
 tremble ; shiver ; shake 	 beving 	 abstract 
 trick 	 kneep 	 abstract 
 trouble ; problem 	 kwestie ; strubbeling ; zorg 	 abstract 
 true 	 waar ; echt ; echte 	 adjective 
 truly ; genuinely ; really 	 waarlijk 	 adverb 
 truthful ; true 	 waar 	 adjective 
 try ; seek ; attempt ; essay ; assay 	 pogen ; proberen 	 verb 
 turn 	 draaien 	 verb 
 twelfth ; 12th 	 twaalfde ; 12e ; 12de 	 number 
 twenty ; 20 ; xx 	 twintig 	 number 
 type 	 soort 	 abstract 
 ugly 	 lelijk 	 adjective 
 understand 	 verstaan ; begrijpen ; snappen 	 verb 
 undertaking ; project ; task ; labor 	 opgave 	 abstract 
 unemployed 	 werkloos 	 adjective 
 union 	 unie 	 society 
 unit of measurement ; unit 	 eenheid 	 mathematics 
 university 	 universiteit 	 city 
 university 	 universiteit 	 city 
 university 	 universiteit 	 education 
 unlike ; dissimilar ; different 	 anders 	 adjective 
 unmarried ; single 	 ongetrouwd ; ongehuwd 	 adjective 
 until 	 tot 	 conjunction 
 unusual 	 ongewoon 	 adjective 
 unwrap ; disclose ; let on ; bring out ; reveal ; discover ; expose ; divulge ; break ; give away ; let out 	 onthullen 	 verb 
 up ; upwards ; upward ; upwardly 	 opwaarts 	 adverb 
 us 	 ons 	 pronoun 
 use ; usage ; utilization ; utilisation ; employment ; exercise 	 gebruik 	 linguistics 
 use ; utilize ; utilise ; apply ; employ 	 gebruiken 	 verb 
 user 	 gebruiker ; gebruikster 	 society 
 vacation ; holiday 	 vakantie 	 travelling 
 value 	 waarde 	 art 
 very ; really ; real ; rattling 	 heel ; zeer ; erg 	 adverb 
 village ; hamlet 	 dorp 	 society 
 village ; small town ; settlement 	 dorp 	 society 
 violent 	 gewelddadig 	 adjective 
 visit 	 bezoek ; visite 	 abstract 
 visit ; see 	 bezoeken ; opzoeken 	 verb 
 vogue ; trend ; style 	 mode 	 abstract 
 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 stem 	 communication 
 volition ; will 	 wil 	 abstract 
 wages ; reward ; payoff 	 beloning 	 society 
 wait ; hold off ; hold back 	 wachten ; afwachten 	 verb 
 walk 	 lopen ; wandelen 	 verb 
 wall 	 muur 	 house 
 war ; state of war 	 oorlog 	 society 
 warm 	 hartelijk 	 adjective 
 warm 	 warmen 	 verb 
 wash ; launder 	 wassen 	 verb 
 waste ; waste material ; waste matter ; waste product 	 afval 	 material 
 watch ; ticker 	 horloge 	 object 
 watch ; view ; see ; catch ; take in 	 kijken 	 verb 
 water ; H2O 	 water 	 material 
 wave ; moving ridge 	 golf 	 nature 
 we 	 we ; wij 	 pronoun 
 wear 	 slijtage 	 abstract 
 wear ; have on 	 aanhebben 	 verb 
 weather ; weather condition ; conditions ; atmospheric condition 	 weer 	 nature 
 wedding ; wedding ceremony ; nuptials ; hymeneals 	 bruiloft 	 family 
 week ; calendar week 	 week 	 time 
 weekend 	 weekend ; weekeinde 	 time 
 weigh 	 wegen 	 verb 
 weight 	 gewicht 	 physics 
 well 	 bron ; bron ; put ; put 	 object 
 well ; good 	 goed ; uitstekend 	 adverb 
 west 	 westelijk 	 adjective 
 west ; due west ; westward ; W 	 westen 	 logistics 
 wet 	 nat ; natte ; vochtig ; vochtige 	 adjective 
 wet 	 natmaken 	 verb 
 what 	 wat 	 pronoun 
 wheel 	 wiel 	 object 
 whenever 	 wanneer ook 	 conjunction 
 whether 	 of 	 conjunction 
